5000 126533
1 6 7
1 6 6
1 6 1
1 6 10
1 6 3
1 6 8
1 6 4
1 6 6
1 6 9
1 6 8
1 6 5
1 6 5
1 6 4
1 6 4
1 6 10
1 6 4
1 6 4
1 6 2
1 6 10
1 6 10
1 6 1
1 6 4
1 6 9
1 6 1
1 6 1
1 6 1
1 6 1
1 6 10
1 6 3
1 6 9
1 6 2
1 6 4
1 6 2
1 6 8
1 6 7
1 6 1
1 6 2
1 6 7
1 6 7
1 6 2
1 6 9
1 6 1
1 6 7
1 6 6
1 6 7
1 6 5
2 7 4
2 7 3
2 7 7
2 7 3
2 7 3
2 7 3
2 7 3
2 7 8
2 7 3
2 7 8
2 7 7
2 7 3
2 7 1
2 7 4
2 7 7
2 7 10
2 7 10
2 7 3
2 7 5
2 7 7
2 7 5
2 7 8
2 7 8
2 7 3
2 7 1
2 7 2
2 7 2
2 7 7
2 7 5
2 7 8
2 7 1
2 7 4
2 7 10
2 7 4
2 7 4
2 7 1
2 7 4
2 7 10
2 7 4
2 7 4
2 7 2
2 7 8
2 7 6
2 7 2
2 7 8
2 7 1
2 7 5
2 7 5
3 8 2
3 8 3
3 8 3
3 8 3
3 8 3
3 8 6
3 8 8
3 8 7
3 8 4
3 8 10
3 8 7
3 8 5
3 8 6
3 8 9
3 8 5
3 8 7
3 8 4
3 8 6
3 8 10
3 8 7
3 8 10
3 8 5
3 8 6
3 8 5
3 8 6
3 8 7
3 8 8
3 8 4
3 8 9
3 8 6
3 8 3
3 8 7
3 8 8
3 8 9
3 8 7
3 8 3
3 8 5
3 8 2
3 8 10
3 8 7
3 8 1
3 8 5
3 8 7
3 8 5
3 8 2
3 8 10
3 8 5
4 9 7
4 9 7
4 9 3
4 9 2
4 9 2
4 9 5
4 9 8
4 9 10
4 9 5
4 9 7
4 9 6
4 9 4
4 9 1
4 9 7
4 9 1
4 9 9
4 9 9
4 9 6
4 9 3
4 9 9
4 9 2
4 9 8
4 9 9
4 9 3
4 9 4
4 9 8
4 9 1
4 9 8
4 9 1
4 9 2
4 9 8
4 9 10
4 9 8
4 9 8
4 9 2
4 9 5
4 9 7
4 9 7
4 9 5
4 9 2
4 9 9
5 10 3
5 10 1
5 10 1
5 10 8
5 10 9
5 10 4
5 10 3
5 10 10
5 10 1
5 10 8
5 10 9
5 10 3
5 10 4
5 10 2
5 10 6
5 10 2
5 10 2
5 10 6
5 10 1
5 10 6
5 10 6
5 10 9
5 10 3
5 10 1
5 10 8
5 10 3
5 10 3
5 10 6
5 10 10
5 10 3
5 10 6
5 10 4
5 10 3
5 10 9
5 10 6
5 10 5
5 10 7
5 10 8
5 10 7
5 10 9
5 10 2
5 10 9
5 10 9
5 10 10
5 10 8
5 10 1
5 10 10
5 10 10
5 10 5
5 10 6
5 10 3
5 10 9
5 10 6
5 10 7
5 10 2
5 10 7
5 10 5
5 10 5
5 10 6
5 10 2
5 10 5
5 10 7
5 10 10
5 10 5
5 10 5
5 10 2
5 10 7
6 11 8
6 11 6
6 11 8
6 11 8
6 11 4
6 11 2
6 11 7
6 11 10
6 11 4
6 11 8
6 11 2
6 11 6
6 11 9
6 11 2
6 11 9
6 11 5
6 11 8
6 11 3
6 11 7
6 11 6
6 11 5
6 11 4
6 11 1
6 11 10
6 11 3
6 11 7
6 11 1
6 11 1
6 11 1
6 11 8
6 11 10
6 11 5
6 11 7
6 11 10
6 11 7
6 11 4
6 11 7
6 11 8
6 11 6
6 11 7
6 11 8
6 11 3
6 11 5
7 12 9
7 12 3
7 12 2
7 12 8
7 12 4
7 12 10
7 12 7
7 12 6
7 12 8
7 12 2
7 12 4
7 12 3
7 12 3
7 12 3
7 12 9
7 12 1
7 12 4
7 12 1
7 12 2
7 12 10
7 12 1
7 12 1
7 12 6
7 12 1
7 12 8
7 12 6
7 12 6
7 12 9
7 12 1
7 12 3
7 12 5
7 12 7
7 12 8
7 12 4
7 12 7
7 12 8
7 12 7
7 12 5
7 12 4
7 12 10
7 12 9
