5000 127117
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
1 6 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
2 7 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
3 8 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
4 9 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
5 10 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
6 11 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
7 12 200
